ticker,degree,weighted_degree,betweenness,eigenvector,community,rank_degree,rank_weighted_degree,rank_betweenness,rank_eigenvector
GBCI,116,89.61018986217282,0.001593317953815039,0.10251615104544834,40,48.0,44.0,406.0,32.0
CNOB,115,85.9568312494981,0.00043507093103003434,0.0965586177474412,40,49.0,54.0,756.0,49.0
FFIN,115,88.00337632358433,0.0003541624748270521,0.10110265055668578,40,49.0,49.0,766.0,37.0
VLY,115,87.83628256294936,0.0005235513458545337,0.09933298210030866,40,49.0,50.0,741.0,39.0
FITB,115,87.68309582973646,0.0018116835878987502,0.08726823990037741,40,49.0,51.0,384.0,77.0
KEY,114,86.46546986027593,0.005350483802787771,0.08604590296055707,40,53.0,52.0,180.0,80.0
HQL,114,39.02138164336174,0.09420641803989592,1.7180648096678675e-07,20,53.0,136.0,10.0,1262.0
BOKF,113,85.91800623810015,0.001659777148244902,0.09503637318626026,40,55.0,55.0,401.0,53.0
EWBC,113,86.00839695302668,0.001536156347897059,0.09211449923642406,40,55.0,53.0,412.0,63.0
BKU,113,85.64348061782214,0.0011507183100230144,0.09497465380865044,40,55.0,56.0,494.0,54.0
HBNC,111,82.55481916059365,7.946749132315474e-06,0.09515223357890532,40,58.0,62.0,1185.0,52.0
CFR,111,84.7871142258654,0.0017563766850281252,0.09378003571955168,40,58.0,57.0,385.0,58.0
CVBF,110,84.11351776143978,0.0007405932666684032,0.09687915907821067,40,60.0,59.0,597.0,48.0
SSB,110,84.49859320618502,0.0002160936555745749,0.09787642008174385,40,60.0,58.0,1126.0,47.0
FIBK,109,83.28500489134808,0.00014378824998604478,0.09795320886025971,40,62.0,60.0,1139.0,46.0
FISI,109,80.92695301943422,0.0010091132563623782,0.09138018264857528,40,62.0,67.0,504.0,67.0
DCOM,109,80.46405262632707,0.000589311072444155,0.09334269961392147,40,62.0,69.0,620.0,59.0
HFWA,108,82.7043225509166,0.00015309811789480262,0.09639748616509446,40,65.0,61.0,1136.0,50.0
HBAN,108,82.26177801842739,0.001192900105228602,0.08408261938654917,40,65.0,63.0,452.0,85.0
BBT,108,80.86199656543174,0.00012198400794893928,0.09425480663116995,40,65.0,68.0,1145.0,55.0
