model_type,nodes_mean,nodes_std,edges_mean,edges_std,density_mean,density_std,min_degree_mean,min_degree_std,max_degree_mean,max_degree_std,average_degree_mean,average_degree_std,average_clustering_mean,average_clustering_std,assortativity_mean,assortativity_std,largest_cc_size_mean,largest_cc_size_std,average_path_lcc_mean,average_path_lcc_std,diameter_lcc_mean,diameter_lcc_std,louvain_communities_unweighted_mean,louvain_communities_unweighted_std,modularity_unweighted_mean,modularity_unweighted_std,degree_sequence_error_mean_mean,degree_sequence_error_mean_std,degree_sequence_error_max_mean,degree_sequence_error_max_std,nodes_financial,edges_financial,density_financial,min_degree_financial,max_degree_financial,average_degree_financial,average_clustering_financial,assortativity_financial,largest_cc_size_financial,average_path_lcc_financial,diameter_lcc_financial,louvain_communities_unweighted_financial,modularity_unweighted_financial,degree_sequence_error_mean_financial,degree_sequence_error_max_financial
BA similar avg degree,3461.0,0.0,13828.0,0.0,0.002309466507892236,0.0,3.9,0.4025778999364487,198.73333333333332,30.354154783878897,7.990754117307136,0.0,0.013958187638257019,0.0011664703616781514,-0.044477867671861904,0.0059098624847358705,3461.0,0.0,3.583894661070592,0.014775577313809123,5.666666666666667,0.4794633014853841,18.566666666666666,2.095698934243301,0.31875519227406635,0.005705693758609844,,,,,3461,13210,0.0022062519937269625,1,361,7.63363189829529,0.1485320096932769,0.25452087712382093,3461,6.975581917752395,24,78,0.6810059190586353,,
Configuration model,3461.0,0.0,12168.9,24.464400596616358,0.002032373950527179,4.085891944861459e-06,1.0,0.0,251.26666666666668,7.947818322782301,7.0320138688240394,0.014137186129220566,0.05756859527161912,0.002345368616636373,-0.061119924646608204,0.008500918255873164,3297.7,13.881642554107193,3.5579486295717953,0.009971409458157795,8.333333333333334,0.5466722735905337,102.2,6.8952757440298855,0.3047256863761966,0.0012691422370678085,0.6016180294712511,0.014137186129220644,109.73333333333333,7.947818322782297,3461,13210,0.0022062519937269625,1,361,7.63363189829529,0.1485320096932769,0.25452087712382093,3461,6.975581917752395,24,78,0.6810059190586353,,
"ER same n,m",3461.0,0.0,13210.0,0.0,0.0022062519937269625,0.0,0.3,0.466091599699399,19.166666666666668,1.3152509484776143,7.63363189829529,0.0,0.0022370944103174,0.00030009163021570953,-0.001469373574819148,0.008625990608532277,3459.233333333333,1.7356968854500205,4.240251719543024,0.0026872223269947216,7.2,0.40683810217248634,23.333333333333332,2.5506366119925397,0.324267796955296,0.0024251120289704724,,,,,3461,13210,0.0022062519937269625,1,361,7.63363189829529,0.1485320096932769,0.25452087712382093,3461,6.975581917752395,24,78,0.6810059190586353,,
