strategy,fraction_removed,largest_component_fraction
targeted_degree,0.0,1.0
targeted_degree,0.0499855533082924,0.3093065693430657
targeted_degree,0.0999711066165848,0.02696629213483146
targeted_degree,0.1499566599248772,0.012236573759347382
targeted_degree,0.1999422132331696,0.004694835680751174
targeted_degree,0.249927766541462,0.0023112480739599386
targeted_degree,0.2999133198497544,0.0016508460586050352
targeted_degree,0.3498988731580468,0.0013333333333333333
targeted_degree,0.3998844264663392,0.0009629272989889263
targeted_degree,0.4498699797746316,0.0005252100840336134
targeted_degree,0.499855533082924,0.0005777007510109763
targeted_degree,0.5498410863912164,0.0006418485237483953
targeted_degree,0.5998266396995088,0.0007220216606498195
targeted_degree,0.6498121930078012,0.0008250825082508251
targeted_degree,0.6997977463160936,0.0009624639076034649
targeted_degree,0.7497832996243861,0.0011547344110854503
targeted_degree,0.7997688529326784,0.001443001443001443
targeted_degree,0.8497544062409709,0.0019230769230769232
targeted_degree,0.8997399595492632,0.002881844380403458
targeted_degree,0.9497255128575556,0.005747126436781609
targeted_degree,1.0,0.0
targeted_betweenness,0.0,1.0
targeted_betweenness,0.0499855533082924,0.10279805352798053
targeted_betweenness,0.0999711066165848,0.07415730337078652
targeted_betweenness,0.1499566599248772,0.04860639021074099
targeted_betweenness,0.1999422132331696,0.033947273383893105
targeted_betweenness,0.249927766541462,0.02234206471494607
targeted_betweenness,0.2999133198497544,0.023937267849773007
targeted_betweenness,0.3498988731580468,0.005333333333333333
targeted_betweenness,0.3998844264663392,0.0014443909484833895
targeted_betweenness,0.4498699797746316,0.0005252100840336134
targeted_betweenness,0.499855533082924,0.0005777007510109763
targeted_betweenness,0.5498410863912164,0.0006418485237483953
targeted_betweenness,0.5998266396995088,0.0007220216606498195
targeted_betweenness,0.6498121930078012,0.0008250825082508251
targeted_betweenness,0.6997977463160936,0.0009624639076034649
targeted_betweenness,0.7497832996243861,0.0011547344110854503
targeted_betweenness,0.7997688529326784,0.001443001443001443
targeted_betweenness,0.8497544062409709,0.0019230769230769232
targeted_betweenness,0.8997399595492632,0.002881844380403458
targeted_betweenness,0.9497255128575556,0.005747126436781609
targeted_betweenness,1.0,0.0
random_failure,0.0,1.0
random_failure,0.0499855533082924,0.9130170316301703
random_failure,0.0999711066165848,0.826645264847512
random_failure,0.1499566599248772,0.7868796736913665
random_failure,0.1999422132331696,0.6587215601300108
random_failure,0.249927766541462,0.4418335901386749
random_failure,0.2999133198497544,0.41683862979777137
random_failure,0.3498988731580468,0.36844444444444446
random_failure,0.3998844264663392,0.2917669715936447
random_failure,0.4498699797746316,0.27310924369747897
random_failure,0.499855533082924,0.25996533795493937
random_failure,0.5498410863912164,0.16367137355584083
random_failure,0.5998266396995088,0.10902527075812274
random_failure,0.6498121930078012,0.10891089108910891
random_failure,0.6997977463160936,0.09720885466794996
random_failure,0.7497832996243861,0.10046189376443418
random_failure,0.7997688529326784,0.07215007215007214
random_failure,0.8497544062409709,0.07692307692307693
random_failure,0.8997399595492632,0.05763688760806916
random_failure,0.9497255128575556,0.06896551724137931
random_failure,1.0,0.0
