source,target,correlation,distance,edge_type
CAG,GIS,0.5923086814046901,0.9029854025346257,MST
CEVA,MPWR,0.5922478152878431,0.903052805446234,MST
DNOW,NOV,0.592009656229428,0.9033164935619984,MST
SHOP,XYZ,0.5919923862348268,0.9033356117912913,MST
RVT,WMS,0.5918009554692099,0.9035475023824593,MST
BUSE,MPB,0.5914598791485149,0.9039249093276334,MST
HPE,NTAP,0.5912021985964332,0.9042099329288158,MST
AEO,ANF,0.5911561079977341,0.9042609048303104,MST
ARCC,BBDC,0.5910931444622046,0.9043305319824112,MST
DCI,MSA,0.591084783611785,0.9043397772830907,MST
BHK,BTZ,0.5908168366534056,0.9046360189010765,MST
FRBA,QCRH,0.5904108356289991,0.9050847080478168,MST
HSY,MDLZ,0.5902840689672133,0.9052247577621667,MST
BUSE,TSBK,0.5899060799321706,0.9056422252388958,MST
GGG,TTC,0.5894818680622054,0.9061105141623671,MST
HLT,LYV,0.5894014342618001,0.9061992780158235,MST
BTE,OBE,0.5893687374578382,0.9062353585489387,MST
MPWR,MTSI,0.589251631518683,0.9063645717715548,MST
GAP,M,0.5890126255955564,0.9066282307588305,MST
NGG,PPL,0.5889888758627536,0.9066544260491385,MST
ARTNA,YORW,0.5887147758238509,0.9069566959630974,MST
CTAS,RSG,0.588594046938051,0.9070898004739653,MST
PVH,SHOO,0.5884671439197527,0.9072296909606158,MST
BGR,BSM,0.5882081536869188,0.907515119778267,MST
ETD,LZB,0.5881282743508096,0.9076031353506778,MST
INFY,WIT,0.588122672832058,0.9076093071007393,MST
ACIW,RVT,0.5879723790827136,0.9077748849987936,MST
FLG,VLY,0.5878559918810298,0.9079030874702103,MST
FOR,MTH,0.5872181520325761,0.9086053576415053,MST
BUSE,PKBK,0.5868612031981159,0.9089981262927709,MST
ALV,STLA,0.5868291645871179,0.9090333716788203,MST
NBH,VKQ,0.5867767095607579,0.9090910740286059,MST
JBHT,R,0.5867559136805589,0.909113949204874,MST
KN,VSH,0.5863968277399131,0.9095088479614554,MST
GIS,MDLZ,0.5861773480258562,0.9097501327003408,MST
MO,PM,0.586101175562586,0.9098338578415446,MST
CATY,MATW,0.5859779194275978,0.9099693187931143,MST
